,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Total,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Total,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Total,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Total,,,,,Grand Total,,,,
BAINS VAL,La Générale de,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.00,827.45,827.45,0.00,0.00,769.00,827.45,827.45,0.00,0.00,769.00,827.45,827.45,0.00,0.00
BALZAC,CENTRAL STAY SA,466,3'829.55,4'120.70,4'120.70,0.00,0.00,3'544.25,3'813.55,3'813.55,0.00,0.00,4'914.15,5'287.75,5'287.75,0.00,0.00,5'105.50,5'493.50,5'493.50,0.00,0.00,4'160.55,4'476.65,4'476.65,0.00,0.00,4'140.40,4'455.10,4'455.10,0.00,0.00,3'415.10,3'674.60,3'674.60,0.00,0.00,3'481.75,3'746.30,3'746.30,0.00,0.00,32'591.25,35'068.15,35'068.15,0.00,0.00,3'286.45,3'536.15,3'536.15,0.00,0.00,2'914.00,3'135.45,3'135.45,0.00,0.00,3'459.10,3'722.00,3'722.00,0.00,0.00,3'471.25,3'735.00,3'735.00,0.00,0.00,3'403.35,3'662.00,3'662.00,0.00,0.00,3'744.40,4'029.00,4'029.00,0.00,0.00,4'104.80,4'416.75,4'416.75,0.00,0.00,3'736.70,4'020.65,4'020.65,0.00,0.00,3'529.50,3'797.70,3'797.70,0.00,0.00,3'642.45,3'919.20,3'919.20,0.00,0.00,2'753.20,2'962.50,2'962.50,0.00,0.00,2'795.10,3'007.50,3'007.50,0.00,0.00,40'840.30,43'943.90,43'943.90,0.00,0.00,2'128.90,2'290.65,2'290.65,0.00,0.00,2'550.15,2'743.90,2'743.90,0.00,0.00,3'815.45,4'105.45,4'105.45,0.00,0.00,3'263.10,3'511.05,3'511.05,0.00,0.00,4'037.05,4'343.85,4'343.85,0.00,0.00,4'801.30,5'166.20,5'166.20,0.00,0.00,4'912.10,5'285.40,5'285.40,0.00,0.00,3'891.95,4'187.80,4'187.80,0.00,0.00,3'994.65,4'298.20,4'298.20,0.00,0.00,3'627.10,3'902.70,3'902.70,0.00,0.00,3'779.00,4'066.25,4'066.25,0.00,0.00,4'397.75,4'732.05,4'732.05,0.00,0.00,45'198.50,48'633.50,48'633.50,0.00,0.00,3'501.85,3'767.95,3'767.95,0.00,0.00,3'194.70,3'437.50,3'437.50,0.00,0.00,4'174.95,4'492.20,4'492.20,0.00,0.00,4'785.30,5'149.00,5'149.00,0.00,0.00,3'650.90,3'928.40,3'928.40,0.00,0.00,4'359.95,4'691.45,4'691.45,0.00,0.00,4'503.60,4'845.85,4'845.85,0.00,0.00,5'437.90,5'851.20,5'851.20,0.00,0.00,3'899.90,4'196.30,4'196.30,0.00,0.00,3'464.00,3'727.20,3'727.20,0.00,0.00,3'120.35,3'357.50,3'357.50,0.00,0.00,2'156.75,2'320.65,2'320.65,0.00,0.00,46'250.15,49'765.20,49'765.20,0.00,0.00,164'880.20,177'410.75,177'410.75,0.00,0.00
BANQ.LOC,Banquets Loc SA,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.00,284.05,284.05,0.00,0.00,94.00,101.15,101.15,0.00,0.00,358.00,385.20,385.20,0.00,0.00,1'064.00,1'144.85,1'144.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'064.00,1'144.85,1'144.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'422.00,1'530.05,1'530.05,0.00,0.00
BARCAROLLE,Hôtel La Barcarolle,430,6'490.35,6'983.70,6'983.70,0.00,0.00,8'218.85,8'843.60,8'843.60,0.00,0.00,7'689.70,8'273.90,8'273.90,0.00,0.00,7'589.90,8'166.70,8'166.70,0.00,0.00,6'189.40,6'659.75,6'659.75,0.00,0.00,6'595.30,7'096.50,7'096.50,0.00,0.00,5'796.65,6'237.30,6'237.30,0.00,0.00,3'539.55,3'808.55,3'808.55,0.00,0.00,52'109.70,56'070.00,56'070.00,0.00,0.00,3'317.50,3'569.65,3'569.65,0.00,0.00,4'144.95,4'459.90,4'459.90,0.00,0.00,5'023.15,5'405.00,5'405.00,0.00,0.00,60.00,64.55,64.55,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12'545.60,13'499.10,13'499.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64'655.30,69'569.10,69'569.10,0.00,0.00
BONHEUR,Auberge des 3 Bonheurs,393,2'000.40,2'152.40,2'152.40,0.00,0.00,1'936.00,2'083.10,2'083.10,0.00,0.00,1'956.00,2'104.60,2'104.60,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'941.60,2'089.15,2'089.15,0.00,0.00,1'946.40,2'094.30,2'094.30,0.00,0.00,15'540.40,16'721.25,16'721.25,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'972.80,2'122.70,2'122.70,0.00,0.00,1'932.00,2'078.80,2'078.80,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'924.80,2'071.05,2'071.05,0.00,0.00,1'924.80,2'071.05,2'071.05,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'958.40,2'107.20,2'107.20,0.00,0.00,1'927.20,2'073.65,2'073.65,0.00,0.00,23'160.00,24'919.85,24'919.85,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'999.20,2'151.10,2'151.10,0.00,0.00,1'980.00,2'130.45,2'130.45,0.00,0.00,1'989.60,2'140.80,2'140.80,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,1'920.00,2'065.90,2'065.90,0.00,0.00,,,,,,,,,,,,,,,,1'920.00,2'065.90,2'065.90,0.00,0.00,,,,,,15'568.80,16'751.85,16'751.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54'269.20,58'392.95,58'392.95,0.00,0.00
BRABECK,Madame Brabeck,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.60,223.35,223.35,0.00,0.00,207.60,223.35,223.35,0.00,0.00,62.60,67.40,67.40,0.00,0.00,21.40,23.05,23.05,0.00,0.00,32.40,34.85,34.85,0.00,0.00,26.20,28.20,28.20,0.00,0.00,39.80,42.80,42.80,0.00,0.00,,,,,,,,,,,15.60,16.80,16.80,0.00,0.00,,,,,,,,,,,,,,,,,,,,,198.00,213.10,213.10,0.00,0.00,405.60,436.45,436.45,0.00,0.00
BRISTOL,Bristol gestion management sa,397,6'738.45,7'250.65,7'250.65,0.00,0.00,4'707.70,5'065.55,5'065.55,0.00,0.00,5'457.00,5'871.75,5'871.75,0.00,0.00,5'737.45,6'173.60,6'173.60,0.00,0.00,5'776.85,6'215.85,6'215.85,0.00,0.00,3'257.50,3'505.15,3'505.15,0.00,0.00,,,,,,3'491.75,3'757.10,3'757.10,0.00,0.00,35'166.70,37'839.65,37'839.65,0.00,0.00,8'246.60,8'873.45,8'873.45,0.00,0.00,7'390.45,7'952.15,7'952.15,0.00,0.00,7'460.70,8'027.75,8'027.75,0.00,0.00,3'145.10,3'384.20,3'384.20,0.00,0.00,4'755.60,5'117.05,5'117.05,0.00,0.00,7'753.65,8'343.00,8'343.00,0.00,0.00,5'848.55,6'293.10,6'293.10,0.00,0.00,7'256.25,7'807.70,7'807.70,0.00,0.00,6'830.75,7'349.85,7'349.85,0.00,0.00,4'242.65,4'565.15,4'565.15,0.00,0.00,205.85,221.50,221.50,0.00,0.00,4'290.15,4'616.20,4'616.20,0.00,0.00,67'426.30,72'551.10,72'551.10,0.00,0.00,6'071.55,6'533.05,6'533.05,0.00,0.00,7'421.90,7'985.95,7'985.95,0.00,0.00,6'803.95,7'321.25,7'321.25,0.00,0.00,2'854.90,3'071.90,3'071.90,0.00,0.00,6'720.05,7'230.85,7'230.85,0.00,0.00,8'253.80,8'881.20,8'881.20,0.00,0.00,5'705.45,6'139.05,6'139.05,0.00,0.00,7'357.70,7'916.90,7'916.90,0.00,0.00,6'694.85,7'203.70,7'203.70,0.00,0.00,3'535.45,3'804.15,3'804.15,0.00,0.00,,,,,,3'380.35,3'637.10,3'637.10,0.00,0.00,64'799.95,69'725.10,69'725.10,0.00,0.00,7'659.25,8'241.50,8'241.50,0.00,0.00,8'113.15,8'729.60,8'729.60,0.00,0.00,10'574.40,11'378.05,11'378.05,0.00,0.00,2'723.75,2'930.65,2'930.65,0.00,0.00,7'757.15,8'346.70,8'346.70,0.00,0.00,7'811.80,8'405.50,8'405.50,0.00,0.00,9'953.25,10'709.65,10'709.65,0.00,0.00,14'606.70,15'716.80,15'716.80,0.00,0.00,8'255.65,8'882.95,8'882.95,0.00,0.00,3'879.30,4'174.10,4'174.10,0.00,0.00,,,,,,,,,,,81'334.40,87'515.50,87'515.50,0.00,0.00,248'727.35,267'631.35,267'631.35,0.00,0.00
CANI,San Marco Pizzeria,411,3'395.90,3'654.05,3'654.05,0.00,0.00,2'827.25,3'042.10,3'042.10,0.00,0.00,2'710.30,2'916.30,2'916.30,0.00,0.00,2'594.45,2'791.70,2'791.70,0.00,0.00,3'134.85,3'373.10,3'373.10,0.00,0.00,3'465.85,3'729.20,3'729.20,0.00,0.00,3'499.95,3'765.95,3'765.95,0.00,0.00,3'229.50,3'474.95,3'474.95,0.00,0.00,24'858.05,26'747.35,26'747.35,0.00,0.00,3'193.50,3'436.20,3'436.20,0.00,0.00,3'058.95,3'291.55,3'291.55,0.00,0.00,3'050.35,3'282.25,3'282.25,0.00,0.00,2'763.60,2'973.60,2'973.60,0.00,0.00,3'352.55,3'607.30,3'607.30,0.00,0.00,2'187.35,2'353.55,2'353.55,0.00,0.00,2'024.55,2'178.40,2'178.40,0.00,0.00,1'783.25,1'918.75,1'918.75,0.00,0.00,2'687.55,2'891.65,2'891.65,0.00,0.00,3'585.15,3'857.60,3'857.60,0.00,0.00,2'882.90,3'102.00,3'102.00,0.00,0.00,3'284.30,3'533.95,3'533.95,0.00,0.00,33'854.00,36'426.80,36'426.80,0.00,0.00,2'582.50,2'778.80,2'778.80,0.00,0.00,2'762.30,2'972.25,2'972.25,0.00,0.00,3'198.65,3'441.70,3'441.70,0.00,0.00,2'605.55,2'803.60,2'803.60,0.00,0.00,2'721.40,2'928.30,2'928.30,0.00,0.00,2'590.90,2'787.75,2'787.75,0.00,0.00,1'931.70,2'078.55,2'078.55,0.00,0.00,1'770.20,1'904.80,1'904.80,0.00,0.00,2'084.10,2'242.45,2'242.45,0.00,0.00,2'682.05,2'885.90,2'885.90,0.00,0.00,2'539.05,2'732.05,2'732.05,0.00,0.00,2'471.70,2'659.60,2'659.60,0.00,0.00,29'940.10,32'215.75,32'215.75,0.00,0.00,1'930.80,2'077.50,2'077.50,0.00,0.00,1'806.95,1'944.25,1'944.25,0.00,0.00,2'125.30,2'286.85,2'286.85,0.00,0.00,1'852.60,1'993.40,1'993.40,0.00,0.00,1'673.50,1'800.70,1'800.70,0.00,0.00,1'756.35,1'889.75,1'889.75,0.00,0.00,1'558.85,1'677.30,1'677.30,0.00,0.00,1'421.35,1'529.35,1'529.35,0.00,0.00,1'689.10,1'817.45,1'817.45,0.00,0.00,1'907.50,2'052.45,2'052.45,0.00,0.00,2'073.40,2'231.00,2'231.00,0.00,0.00,2'070.05,2'227.40,2'227.40,0.00,0.00,21'865.75,23'527.40,23'527.40,0.00,0.00,110'517.90,118'917.30,118'917.30,0.00,0.00
CESAR RITZ,U.C. César Ritz Colleges AG,62,14'772.85,15'895.75,15'895.75,0.00,0.00,10'893.35,11'721.25,11'721.25,0.00,0.00,6'136.05,6'602.40,6'602.40,0.00,0.00,12'789.90,13'761.95,13'761.95,0.00,0.00,12'713.90,13'680.20,13'680.20,0.00,0.00,11'999.80,12'911.65,12'911.65,0.00,0.00,13'014.05,14'003.20,14'003.20,0.00,0.00,11'769.45,12'663.90,12'663.90,0.00,0.00,94'089.35,101'240.30,101'240.30,0.00,0.00,9'815.00,10'561.00,10'561.00,0.00,0.00,12'637.75,13'598.40,13'598.40,0.00,0.00,9'868.85,10'619.05,10'619.05,0.00,0.00,11'734.40,12'626.30,12'626.30,0.00,0.00,12'963.00,13'947.95,13'947.95,0.00,0.00,12'104.65,13'024.85,13'024.85,0.00,0.00,8'187.30,8'809.75,8'809.75,0.00,0.00,12'467.85,13'415.50,13'415.50,0.00,0.00,11'259.55,12'115.30,12'115.30,0.00,0.00,12'189.80,13'116.45,13'116.45,0.00,0.00,12'944.35,13'928.10,13'928.10,0.00,0.00,9'315.55,10'023.60,10'023.60,0.00,0.00,135'488.05,145'786.25,145'786.25,0.00,0.00,16'517.20,17'772.45,17'772.45,0.00,0.00,14'366.85,15'458.75,15'458.75,0.00,0.00,12'911.55,13'892.70,13'892.70,0.00,0.00,10'105.05,10'873.00,10'873.00,0.00,0.00,12'916.30,13'897.80,13'897.80,0.00,0.00,13'142.70,14'141.60,14'141.60,0.00,0.00,7'811.05,8'404.75,8'404.75,0.00,0.00,13'320.60,14'333.20,14'333.20,0.00,0.00,13'842.20,14'894.15,14'894.15,0.00,0.00,10'538.25,11'339.15,11'339.15,0.00,0.00,13'303.50,14'314.90,14'314.90,0.00,0.00,10'690.60,11'503.15,11'503.15,0.00,0.00,149'465.85,160'825.60,160'825.60,0.00,0.00,7'375.75,7'936.45,7'936.45,0.00,0.00,10'586.65,11'391.40,11'391.40,0.00,0.00,9'131.20,9'825.45,9'825.45,0.00,0.00,9'277.85,9'983.10,9'983.10,0.00,0.00,10'111.90,10'880.40,10'880.40,0.00,0.00,8'242.40,8'869.05,8'869.05,0.00,0.00,9'085.80,9'776.30,9'776.30,0.00,0.00,13'791.80,14'840.05,14'840.05,0.00,0.00,10'220.55,10'997.25,10'997.25,0.00,0.00,10'518.40,11'317.70,11'317.70,0.00,0.00,13'257.70,14'265.30,14'265.30,0.00,0.00,9'687.90,10'424.30,10'424.30,0.00,0.00,121'287.90,130'506.75,130'506.75,0.00,0.00,500'331.15,538'358.90,538'358.90,0.00,0.00
CHATEAU,Hostellerie du Château,336,2'155.00,2'318.75,2'318.75,0.00,0.00,151.35,162.85,162.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'306.35,2'481.60,2'481.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'306.35,2'481.60,2'481.60,0.00,0.00
CHEVREIUIL,Les Chevreuils,42,2'569.60,2'764.80,2'764.80,0.00,0.00,2'688.90,2'893.30,2'893.30,0.00,0.00,2'357.15,2'536.25,2'536.25,0.00,0.00,3'364.25,3'619.85,3'619.85,0.00,0.00,3'741.80,4'026.20,4'026.20,0.00,0.00,2'779.20,2'990.50,2'990.50,0.00,0.00,2'275.65,2'448.65,2'448.65,0.00,0.00,1'763.65,1'897.70,1'897.70,0.00,0.00,21'540.20,23'177.25,23'177.25,0.00,0.00,1'545.30,1'662.70,1'662.70,0.00,0.00,1'554.85,1'673.15,1'673.15,0.00,0.00,1'943.15,2'090.85,2'090.85,0.00,0.00,1'856.20,1'997.35,1'997.35,0.00,0.00,2'019.70,2'173.15,2'173.15,0.00,0.00,2'634.40,2'834.75,2'834.75,0.00,0.00,2'388.85,2'570.45,2'570.45,0.00,0.00,1'654.50,1'780.25,1'780.25,0.00,0.00,2'333.15,2'510.30,2'510.30,0.00,0.00,2'341.30,2'519.20,2'519.20,0.00,0.00,2'358.35,2'537.75,2'537.75,0.00,0.00,1'336.95,1'438.55,1'438.55,0.00,0.00,23'966.70,25'788.45,25'788.45,0.00,0.00,1'250.35,1'345.45,1'345.45,0.00,0.00,945.05,1'017.05,1'017.05,0.00,0.00,1'787.60,1'923.40,1'923.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'983.00,4'285.90,4'285.90,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49'489.90,53'251.60,53'251.60,0.00,0.00
CIBA,CIBA Spéc.Chimiques Monthey,10,5'756.00,6'193.45,6'193.45,0.00,0.00,,,,,,11'462.60,12'333.80,12'333.80,0.00,0.00,5'757.35,6'194.95,6'194.95,0.00,0.00,5'759.85,6'197.60,6'197.60,0.00,0.00,5'799.75,6'240.55,6'240.55,0.00,0.00,5'765.20,6'203.35,6'203.35,0.00,0.00,5'798.35,6'239.00,6'239.00,0.00,0.00,46'099.10,49'602.70,49'602.70,0.00,0.00,5'716.85,6'151.35,6'151.35,0.00,0.00,5'712.35,6'146.50,6'146.50,0.00,0.00,5'720.55,6'155.30,6'155.30,0.00,0.00,5'719.70,6'154.40,6'154.40,0.00,0.00,5'697.50,6'130.50,6'130.50,0.00,0.00,5'730.95,6'166.50,6'166.50,0.00,0.00,5'703.85,6'137.30,6'137.30,0.00,0.00,5'677.20,6'108.65,6'108.65,0.00,0.00,5'659.35,6'089.45,6'089.45,0.00,0.00,5'682.30,6'114.15,6'114.15,0.00,0.00,5'703.20,6'136.65,6'136.65,0.00,0.00,5'732.50,6'168.20,6'168.20,0.00,0.00,68'456.30,73'658.95,73'658.95,0.00,0.00,5'693.35,6'126.05,6'126.05,0.00,0.00,5'686.60,6'118.80,6'118.80,0.00,0.00,5'675.40,6'106.75,6'106.75,0.00,0.00,5'702.75,6'136.15,6'136.15,0.00,0.00,5'683.90,6'115.90,6'115.90,0.00,0.00,5'703.55,6'137.00,6'137.00,0.00,0.00,5'688.40,6'120.70,6'120.70,0.00,0.00,5'725.60,6'160.75,6'160.75,0.00,0.00,5'684.15,6'116.15,6'116.15,0.00,0.00,5'690.25,6'122.70,6'122.70,0.00,0.00,5'680.65,6'112.35,6'112.35,0.00,0.00,5'691.65,6'124.20,6'124.20,0.00,0.00,68'306.25,73'497.50,73'497.50,0.00,0.00,5'677.25,6'108.70,6'108.70,0.00,0.00,5'685.75,6'117.85,6'117.85,0.00,0.00,5'685.70,6'117.80,6'117.80,0.00,0.00,5'684.00,6'115.95,6'115.95,0.00,0.00,5'707.80,6'141.55,6'141.55,0.00,0.00,5'688.25,6'120.55,6'120.55,0.00,0.00,5'691.25,6'123.80,6'123.80,0.00,0.00,5'680.65,6'112.40,6'112.40,0.00,0.00,5'679.65,6'111.30,6'111.30,0.00,0.00,5'683.90,6'115.90,6'115.90,0.00,0.00,5'701.25,6'134.55,6'134.55,0.00,0.00,5'684.00,6'115.95,6'115.95,0.00,0.00,68'249.45,73'436.30,73'436.30,0.00,0.00,251'111.10,270'195.45,270'195.45,0.00,0.00
CIMO,Cimo Monthey SA,369,4'272.85,4'597.60,4'597.60,0.00,0.00,4'334.05,4'663.40,4'663.40,0.00,0.00,4'290.05,4'616.10,4'616.10,0.00,0.00,4'308.30,4'635.75,4'635.75,0.00,0.00,4'270.45,4'595.00,4'595.00,0.00,0.00,4'311.20,4'638.85,4'638.85,0.00,0.00,4'273.40,4'598.15,4'598.15,0.00,0.00,4'386.20,4'719.55,4'719.55,0.00,0.00,34'446.50,37'064.40,37'064.40,0.00,0.00,4'277.45,4'602.50,4'602.50,0.00,0.00,4'304.65,4'631.85,4'631.85,0.00,0.00,4'305.85,4'633.10,4'633.10,0.00,0.00,4'388.40,4'722.00,4'722.00,0.00,0.00,4'368.75,4'700.80,4'700.80,0.00,0.00,4'340.60,4'670.50,4'670.50,0.00,0.00,4'374.50,4'706.95,4'706.95,0.00,0.00,4'290.45,4'616.55,4'616.55,0.00,0.00,4'324.25,4'652.95,4'652.95,0.00,0.00,4'539.55,4'884.50,4'884.50,0.00,0.00,4'290.05,4'616.10,4'616.10,0.00,0.00,4'255.90,4'579.35,4'579.35,0.00,0.00,52'060.40,56'017.15,56'017.15,0.00,0.00,4'279.55,4'604.75,4'604.75,0.00,0.00,4'330.35,4'659.40,4'659.40,0.00,0.00,4'326.85,4'655.70,4'655.70,0.00,0.00,4'310.65,4'638.35,4'638.35,0.00,0.00,4'323.60,4'652.20,4'652.20,0.00,0.00,4'378.05,4'710.80,4'710.80,0.00,0.00,4'342.45,4'672.50,4'672.50,0.00,0.00,4'371.45,4'703.70,4'703.70,0.00,0.00,4'344.55,4'674.90,4'674.90,0.00,0.00,4'337.50,4'667.15,4'667.15,0.00,0.00,4'371.50,4'703.90,4'703.90,0.00,0.00,4'325.70,4'654.55,4'654.55,0.00,0.00,52'042.20,55'997.90,55'997.90,0.00,0.00,4'234.05,4'555.85,4'555.85,0.00,0.00,4'239.10,4'561.30,4'561.30,0.00,0.00,4'236.75,4'558.75,4'558.75,0.00,0.00,4'251.10,4'574.20,4'574.20,0.00,0.00,4'234.00,4'555.80,4'555.80,0.00,0.00,4'225.65,4'546.80,4'546.80,0.00,0.00,4'231.55,4'553.15,4'553.15,0.00,0.00,4'261.45,4'585.35,4'585.35,0.00,0.00,4'282.75,4'608.25,4'608.25,0.00,0.00,4'244.55,4'567.15,4'567.15,0.00,0.00,4'222.10,4'543.00,4'543.00,0.00,0.00,4'239.95,4'562.20,4'562.20,0.00,0.00,50'903.00,54'771.80,54'771.80,0.00,0.00,189'452.10,203'851.25,203'851.25,0.00,0.00
CITY,Hôtel City,439,5'323.30,5'727.85,5'727.85,0.00,0.00,5'606.35,6'032.50,6'032.50,0.00,0.00,4'398.10,4'732.40,4'732.40,0.00,0.00,3'712.70,3'994.85,3'994.85,0.00,0.00,4'576.80,4'924.65,4'924.65,0.00,0.00,4'456.15,4'794.80,4'794.80,0.00,0.00,3'802.45,4'091.50,4'091.50,0.00,0.00,2'989.30,3'216.45,3'216.45,0.00,0.00,34'865.15,37'515.00,37'515.00,0.00,0.00,2'839.55,3'055.40,3'055.40,0.00,0.00,2'555.85,2'750.15,2'750.15,0.00,0.00,2'884.95,3'104.15,3'104.15,0.00,0.00,2'991.80,3'219.20,3'219.20,0.00,0.00,3'547.20,3'816.80,3'816.80,0.00,0.00,3'767.40,4'053.75,4'053.75,0.00,0.00,3'815.50,4'105.55,4'105.55,0.00,0.00,3'039.00,3'270.05,3'270.05,0.00,0.00,2'952.95,3'177.45,3'177.45,0.00,0.00,4'446.95,4'784.90,4'784.90,0.00,0.00,1'965.15,2'114.45,2'114.45,0.00,0.00,3'487.45,3'752.50,3'752.50,0.00,0.00,38'293.75,41'204.35,41'204.35,0.00,0.00,2'163.30,2'327.65,2'327.65,0.00,0.00,2'263.75,2'435.85,2'435.85,0.00,0.00,3'334.25,3'587.75,3'587.75,0.00,0.00,2'757.95,2'967.50,2'967.50,0.00,0.00,4'429.90,4'766.60,4'766.60,0.00,0.00,6'044.15,6'503.35,6'503.35,0.00,0.00,4'786.15,5'149.80,5'149.80,0.00,0.00,3'491.85,3'757.25,3'757.25,0.00,0.00,4'340.00,4'669.80,4'669.80,0.00,0.00,3'802.95,4'091.95,4'091.95,0.00,0.00,3'085.30,3'319.80,3'319.80,0.00,0.00,3'174.55,3'415.80,3'415.80,0.00,0.00,43'674.10,46'993.10,46'993.10,0.00,0.00,2'274.35,2'447.20,2'447.20,0.00,0.00,2'346.45,2'524.80,2'524.80,0.00,0.00,2'490.75,2'680.05,2'680.05,0.00,0.00,2'476.75,2'665.10,2'665.10,0.00,0.00,2'944.15,3'168.00,3'168.00,0.00,0.00,3'967.70,4'269.25,4'269.25,0.00,0.00,3'901.70,4'198.25,4'198.25,0.00,0.00,4'787.75,5'151.65,5'151.65,0.00,0.00,4'531.35,4'875.85,4'875.85,0.00,0.00,4'093.55,4'404.65,4'404.65,0.00,0.00,3'097.70,3'333.20,3'333.20,0.00,0.00,2'082.60,2'240.90,2'240.90,0.00,0.00,38'994.80,41'958.90,41'958.90,0.00,0.00,155'827.80,167'671.35,167'671.35,0.00,0.00
CITY BERNE,Hôtel City Am Bahnhof,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'282.65,4'608.20,4'608.20,0.00,0.00,4'576.10,4'923.80,4'923.80,0.00,0.00,5'122.90,5'512.15,5'512.15,0.00,0.00,5'236.70,5'634.65,5'634.65,0.00,0.00,4'993.85,5'373.35,5'373.35,0.00,0.00,4'288.00,4'613.90,4'613.90,0.00,0.00,5'038.50,5'421.40,5'421.40,0.00,0.00,4'389.25,4'722.75,4'722.75,0.00,0.00,37'927.95,40'810.20,40'810.20,0.00,0.00,37'927.95,40'810.20,40'810.20,0.00,0.00
