,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 Total,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Total,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Total,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Total,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Total,,,,,Grand Total,,,,
,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,01,,,,,02,,,,,03,,,,,04,,,,,05,,,,,06,,,,,07,,,,,08,,,,,09,,,,,10,,,,,11,,,,,12,,,,,,,,,,,,,,
,,,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC,MONTANT_LIGNE_NET_HT,MONTANT_LIGNE_NET_TTC,MONTANT_LIGNE_BRUT_TTC,REMISE_LIGNE_HT,REMISE_LIGNE_TTC
AERO BLECH,Aérodrome de la Blécherette,546,4'151.15,4'483.35,4'483.35,0.00,0.00,4'539.85,4'903.05,4'903.05,0.00,0.00,5'615.10,6'064.35,6'064.35,0.00,0.00,4'986.40,5'385.40,5'385.40,0.00,0.00,4'898.70,5'290.60,5'290.60,0.00,0.00,4'697.80,5'073.70,5'073.70,0.00,0.00,4'350.25,4'698.40,4'698.40,0.00,0.00,3'841.30,4'148.60,4'148.60,0.00,0.00,4'063.20,4'388.20,4'388.20,0.00,0.00,4'363.90,4'713.05,4'713.05,0.00,0.00,4'974.65,5'372.65,5'372.65,0.00,0.00,1'837.65,1'984.65,1'984.65,0.00,0.00,52'319.95,56'506.00,56'506.00,0.00,0.00,5'470.85,5'908.60,5'908.60,0.00,0.00,4'882.95,5'273.70,5'273.70,0.00,0.00,3'434.10,3'708.75,3'708.75,0.00,0.00,,,,,,,,,,,2'367.05,2'556.50,2'556.50,0.00,0.00,4'388.35,4'739.20,4'739.20,0.00,0.00,3'856.60,4'165.00,4'165.00,0.00,0.00,3'451.60,3'727.30,3'727.30,0.00,0.00,,,,,,,,,,,,,,,,27'851.50,30'079.05,30'079.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80'171.45,86'585.05,86'585.05,0.00,0.00
AGORA,Hôtel Agora,440,3'582.35,3'868.85,3'868.85,0.00,0.00,6'487.45,7'006.40,7'006.40,0.00,0.00,8'098.40,8'746.00,8'746.00,0.00,0.00,7'922.55,8'556.15,8'556.15,0.00,0.00,7'897.25,8'529.00,8'529.00,0.00,0.00,8'524.60,9'206.60,9'206.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42'512.60,45'913.00,45'913.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42'512.60,45'913.00,45'913.00,0.00,0.00
ALENTEJANO,Rest. L'Alentejano,124,,,,,,,,,,,473.45,511.35,511.35,0.00,0.00,435.65,470.50,470.50,0.00,0.00,732.80,791.45,791.45,0.00,0.00,865.25,934.50,934.50,0.00,0.00,350.80,378.90,378.90,0.00,0.00,291.95,315.30,315.30,0.00,0.00,381.05,411.55,411.55,0.00,0.00,186.05,200.95,200.95,0.00,0.00,,,,,,,,,,,3'717.00,4'014.50,4'014.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'717.00,4'014.50,4'014.50,0.00,0.00
ALPHA HOTE,Horego AG,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.50,112.85,112.85,0.00,0.00,142.15,153.50,153.50,0.00,0.00,3'957.80,4'274.50,4'274.50,0.00,0.00,2'493.65,2'693.25,2'693.25,0.00,0.00,3'339.25,3'606.40,3'606.40,0.00,0.00,3'331.65,3'598.10,3'598.10,0.00,0.00,3'550.55,3'834.60,3'834.60,0.00,0.00,4'376.40,4'726.50,4'726.50,0.00,0.00,3'093.60,3'341.10,3'341.10,0.00,0.00,3'287.75,3'550.75,3'550.75,0.00,0.00,4'001.25,4'321.40,4'321.40,0.00,0.00,2'591.85,2'799.20,2'799.20,0.00,0.00,34'270.40,37'012.15,37'012.15,0.00,0.00,3'228.65,3'487.00,3'487.00,0.00,0.00,2'767.45,2'988.85,2'988.85,0.00,0.00,3'421.95,3'695.80,3'695.80,0.00,0.00,3'025.75,3'267.80,3'267.80,0.00,0.00,4'683.30,5'058.00,5'058.00,0.00,0.00,3'784.05,4'086.75,4'086.75,0.00,0.00,4'183.30,4'518.05,4'518.05,0.00,0.00,4'561.25,4'926.20,4'926.20,0.00,0.00,4'119.80,4'449.35,4'449.35,0.00,0.00,4'734.30,5'113.05,5'113.05,0.00,0.00,4'939.65,5'334.75,5'334.75,0.00,0.00,2'573.10,2'778.85,2'778.85,0.00,0.00,46'022.55,49'704.45,49'704.45,0.00,0.00,3'329.25,3'595.60,3'595.60,0.00,0.00,4'127.75,4'457.95,4'457.95,0.00,0.00,4'016.45,4'337.80,4'337.80,0.00,0.00,4'214.70,4'551.85,4'551.85,0.00,0.00,4'696.60,5'072.30,5'072.30,0.00,0.00,4'931.40,5'325.95,5'325.95,0.00,0.00,5'300.20,5'724.30,5'724.30,0.00,0.00,5'154.00,5'566.40,5'566.40,0.00,0.00,4'242.20,4'581.55,4'581.55,0.00,0.00,5'375.85,5'805.85,5'805.85,0.00,0.00,4'291.45,4'634.80,4'634.80,0.00,0.00,3'252.05,3'512.20,3'512.20,0.00,0.00,52'931.90,57'166.55,57'166.55,0.00,0.00,4'316.60,4'661.95,4'661.95,0.00,0.00,4'991.15,5'390.45,5'390.45,0.00,0.00,4'886.00,5'276.95,5'276.95,0.00,0.00,5'195.70,5'611.35,5'611.35,0.00,0.00,4'661.90,5'034.85,5'034.85,0.00,0.00,5'020.10,5'421.70,5'421.70,0.00,0.00,5'869.50,6'339.10,6'339.10,0.00,0.00,5'364.90,5'794.10,5'794.10,0.00,0.00,4'053.35,4'377.60,4'377.60,0.00,0.00,4'563.30,4'928.35,4'928.35,0.00,0.00,5'450.20,5'886.15,5'886.15,0.00,0.00,3'319.55,3'585.15,3'585.15,0.00,0.00,57'692.25,62'307.70,62'307.70,0.00,0.00,190'917.10,206'190.85,206'190.85,0.00,0.00
ALPHA PALM,Hôtel Alpha Palmiers,493,16'704.15,18'040.50,18'040.50,0.00,0.00,17'252.70,18'633.00,18'633.00,0.00,0.00,19'989.70,21'589.00,21'589.00,0.00,0.00,18'731.25,20'229.75,20'229.75,0.00,0.00,18'753.05,20'253.15,20'253.15,0.00,0.00,17'398.75,18'790.60,18'790.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108'829.60,117'536.00,117'536.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108'829.60,117'536.00,117'536.00,0.00,0.00
AMBASA BE,Hôtel Ambassador,512,10'564.15,11'409.20,11'409.20,0.00,0.00,10'180.60,10'994.95,10'994.95,0.00,0.00,9'379.65,10'130.10,10'130.10,0.00,0.00,10'358.85,11'187.55,11'187.55,0.00,0.00,12'718.00,13'735.35,13'735.35,0.00,0.00,12'258.05,13'238.70,13'238.70,0.00,0.00,14'044.45,15'167.95,15'167.95,0.00,0.00,14'063.15,15'188.20,15'188.20,0.00,0.00,13'641.20,14'732.55,14'732.55,0.00,0.00,10'005.20,10'805.60,10'805.60,0.00,0.00,10'132.45,10'943.20,10'943.20,0.00,0.00,8'292.90,8'956.30,8'956.30,0.00,0.00,135'638.65,146'489.65,146'489.65,0.00,0.00,7'615.05,8'224.15,8'224.15,0.00,0.00,7'459.25,8'055.95,8'055.95,0.00,0.00,10'175.15,10'989.35,10'989.35,0.00,0.00,10'078.35,10'884.55,10'884.55,0.00,0.00,12'061.40,13'026.20,13'026.20,0.00,0.00,12'487.05,13'486.00,13'486.00,0.00,0.00,13'383.45,14'454.10,14'454.10,0.00,0.00,14'439.15,15'594.25,15'594.25,0.00,0.00,11'700.80,12'636.75,12'636.75,0.00,0.00,12'202.20,13'178.40,13'178.40,0.00,0.00,10'540.55,11'383.80,11'383.80,0.00,0.00,9'005.50,9'725.85,9'725.85,0.00,0.00,131'147.90,141'639.35,141'639.35,0.00,0.00,8'816.85,9'522.20,9'522.20,0.00,0.00,7'782.75,8'405.30,8'405.30,0.00,0.00,7'852.45,8'480.65,8'480.65,0.00,0.00,11'215.40,12'112.65,12'112.65,0.00,0.00,7'256.95,7'837.50,7'837.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42'924.40,46'358.30,46'358.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309'710.95,334'487.30,334'487.30,0.00,0.00
AMBASSADOR,The Ambassador,385,5'616.65,6'066.00,6'066.00,0.00,0.00,5'164.20,5'577.35,5'577.35,0.00,0.00,7'894.50,8'526.15,8'526.15,0.00,0.00,4'824.95,5'211.00,5'211.00,0.00,0.00,6'972.00,7'529.75,7'529.75,0.00,0.00,6'491.85,7'011.25,7'011.25,0.00,0.00,6'744.75,7'284.35,7'284.35,0.00,0.00,3'963.90,4'281.00,4'281.00,0.00,0.00,6'970.25,7'527.75,7'527.75,0.00,0.00,6'073.15,6'559.00,6'559.00,0.00,0.00,6'639.85,7'171.05,7'171.05,0.00,0.00,5'147.55,5'559.35,5'559.35,0.00,0.00,72'503.60,78'304.00,78'304.00,0.00,0.00,5'179.65,5'594.05,5'594.05,0.00,0.00,5'540.95,5'984.10,5'984.10,0.00,0.00,6'787.20,7'330.10,7'330.10,0.00,0.00,5'641.90,6'093.25,6'093.25,0.00,0.00,6'432.90,6'947.50,6'947.50,0.00,0.00,7'666.20,8'279.50,8'279.50,0.00,0.00,8'254.35,8'914.70,8'914.70,0.00,0.00,6'163.65,6'656.70,6'656.70,0.00,0.00,7'263.90,7'844.90,7'844.90,0.00,0.00,7'465.65,8'063.00,8'063.00,0.00,0.00,7'583.25,8'189.95,8'189.95,0.00,0.00,4'919.40,5'312.90,5'312.90,0.00,0.00,78'899.00,85'210.65,85'210.65,0.00,0.00,5'195.05,5'610.75,5'610.75,0.00,0.00,4'072.55,4'398.35,4'398.35,0.00,0.00,5'959.25,6'436.00,6'436.00,0.00,0.00,5'845.90,6'313.60,6'313.60,0.00,0.00,6'786.60,7'329.40,7'329.40,0.00,0.00,7'406.15,7'998.60,7'998.60,0.00,0.00,5'933.35,6'407.90,6'407.90,0.00,0.00,5'675.15,6'129.10,6'129.10,0.00,0.00,7'177.30,7'751.55,7'751.55,0.00,0.00,7'012.85,7'573.90,7'573.90,0.00,0.00,7'502.80,8'103.00,8'103.00,0.00,0.00,4'875.05,5'265.10,5'265.10,0.00,0.00,73'442.00,79'317.25,79'317.25,0.00,0.00,5'711.35,6'168.25,6'168.25,0.00,0.00,4'627.55,4'997.65,4'997.65,0.00,0.00,7'180.45,7'755.00,7'755.00,0.00,0.00,5'809.55,6'274.25,6'274.25,0.00,0.00,6'570.30,7'095.80,7'095.80,0.00,0.00,6'583.30,7'109.95,7'109.95,0.00,0.00,2'751.70,2'971.80,2'971.80,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,39'234.20,42'372.70,42'372.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264'078.80,285'204.60,285'204.60,0.00,0.00
