,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Total,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 Total,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Total,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025 Total,,,,,2026,,,,,Grand Total,,,,
CHEVAL HOT,Aparthotel Bulle City SA,70,2'337.75,2'517.80,2'517.80,0.00,0.00,2'578.10,2'776.70,2'776.70,0.00,0.00,3'779.75,4'070.85,4'070.85,0.00,0.00,4'066.85,4'380.05,4'380.05,0.00,0.00,4'194.05,4'517.05,4'517.05,0.00,0.00,2'729.05,2'939.20,2'939.20,0.00,0.00,4'838.15,5'210.70,5'210.70,0.00,0.00,5'082.35,5'473.70,5'473.70,0.00,0.00,3'627.00,3'906.30,3'906.30,0.00,0.00,4'058.05,4'370.45,4'370.45,0.00,0.00,3'647.25,3'928.10,3'928.10,0.00,0.00,2'678.35,2'884.60,2'884.60,0.00,0.00,43'616.70,46'975.50,46'975.50,0.00,0.00,4'396.75,4'735.30,4'735.30,0.00,0.00,3'647.90,3'928.80,3'928.80,0.00,0.00,3'864.05,4'161.65,4'161.65,0.00,0.00,4'338.80,4'672.95,4'672.95,0.00,0.00,4'477.95,4'822.90,4'822.90,0.00,0.00,4'930.95,5'310.70,5'310.70,0.00,0.00,4'640.20,4'997.45,4'997.45,0.00,0.00,5'514.00,5'938.65,5'938.65,0.00,0.00,5'161.65,5'559.20,5'559.20,0.00,0.00,5'081.05,5'472.35,5'472.35,0.00,0.00,4'387.30,4'725.05,4'725.05,0.00,0.00,4'485.65,4'831.10,4'831.10,0.00,0.00,54'926.25,59'156.10,59'156.10,0.00,0.00,5'203.70,5'625.30,5'625.30,0.00,0.00,3'507.30,3'791.45,3'791.45,0.00,0.00,4'556.00,4'925.10,4'925.10,0.00,0.00,4'422.05,4'780.30,4'780.30,0.00,0.00,4'879.85,5'275.20,5'275.20,0.00,0.00,4'761.35,5'147.05,5'147.05,0.00,0.00,5'686.70,6'147.40,6'147.40,0.00,0.00,5'321.75,5'752.75,5'752.75,0.00,0.00,4'602.70,4'975.50,4'975.50,0.00,0.00,4'351.45,4'703.95,4'703.95,0.00,0.00,4'550.90,4'919.55,4'919.55,0.00,0.00,5'219.10,5'641.95,5'641.95,0.00,0.00,57'062.85,61'685.50,61'685.50,0.00,0.00,4'852.50,5'245.70,5'245.70,0.00,0.00,1'706.00,1'844.20,1'844.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6'558.50,7'089.90,7'089.90,0.00,0.00,,,,,,162'164.30,174'907.00,174'907.00,0.00,0.00
CHEVAL RES,CHROM'Services Sàrl,95,1'665.75,1'793.95,1'793.95,0.00,0.00,411.05,442.70,442.70,0.00,0.00,876.40,943.90,943.90,0.00,0.00,1'683.70,1'813.30,1'813.30,0.00,0.00,1'677.10,1'806.20,1'806.20,0.00,0.00,994.30,1'070.75,1'070.75,0.00,0.00,1'042.70,1'122.90,1'122.90,0.00,0.00,615.10,662.45,662.45,0.00,0.00,846.05,911.15,911.15,0.00,0.00,1'999.55,2'153.45,2'153.45,0.00,0.00,2'103.35,2'265.20,2'265.20,0.00,0.00,1'327.35,1'429.50,1'429.50,0.00,0.00,15'242.40,16'415.45,16'415.45,0.00,0.00,1'920.00,2'067.80,2'067.80,0.00,0.00,1'016.80,1'095.05,1'095.05,0.00,0.00,1'051.40,1'132.45,1'132.45,0.00,0.00,1'602.95,1'726.50,1'726.50,0.00,0.00,1'763.40,1'899.25,1'899.25,0.00,0.00,617.00,664.50,664.50,0.00,0.00,946.30,1'019.10,1'019.10,0.00,0.00,292.15,314.70,314.70,0.00,0.00,1'128.35,1'215.20,1'215.20,0.00,0.00,1'854.10,1'997.05,1'997.05,0.00,0.00,2'038.40,2'195.45,2'195.45,0.00,0.00,1'637.90,1'764.00,1'764.00,0.00,0.00,15'868.75,17'091.05,17'091.05,0.00,0.00,1'316.35,1'422.95,1'422.95,0.00,0.00,1'333.80,1'441.95,1'441.95,0.00,0.00,1'822.80,1'970.50,1'970.50,0.00,0.00,1'348.20,1'457.45,1'457.45,0.00,0.00,1'299.85,1'405.15,1'405.15,0.00,0.00,1'259.10,1'361.10,1'361.10,0.00,0.00,740.40,800.40,800.40,0.00,0.00,740.15,800.10,800.10,0.00,0.00,798.40,863.10,863.10,0.00,0.00,1'942.05,2'099.30,2'099.30,0.00,0.00,1'600.75,1'730.35,1'730.35,0.00,0.00,1'849.85,1'999.70,1'999.70,0.00,0.00,16'051.70,17'352.05,17'352.05,0.00,0.00,1'132.75,1'224.50,1'224.50,0.00,0.00,1'726.50,1'866.25,1'866.25,0.00,0.00,625.10,675.75,675.75,0.00,0.00,1'746.45,1'888.05,1'888.05,0.00,0.00,1'267.40,1'370.10,1'370.10,0.00,0.00,1'019.45,1'101.95,1'101.95,0.00,0.00,784.65,848.25,848.25,0.00,0.00,660.35,713.85,713.85,0.00,0.00,1'315.90,1'422.45,1'422.45,0.00,0.00,2'267.55,2'451.30,2'451.30,0.00,0.00,2'235.10,2'416.20,2'416.20,0.00,0.00,,,,,,14'781.20,15'978.65,15'978.65,0.00,0.00,2'995.00,3'237.75,3'237.75,0.00,0.00,64'939.05,70'074.95,70'074.95,0.00,0.00
CHEVALIERS,Chalet de Gruyères SA,580,2'954.10,3'181.55,3'181.55,0.00,0.00,3'119.55,3'359.75,3'359.75,0.00,0.00,4'798.75,5'168.25,5'168.25,0.00,0.00,4'057.90,4'370.35,4'370.35,0.00,0.00,5'164.75,5'562.35,5'562.35,0.00,0.00,5'742.95,6'185.20,6'185.20,0.00,0.00,7'084.85,7'630.35,7'630.35,0.00,0.00,8'447.75,9'098.25,9'098.25,0.00,0.00,6'191.55,6'668.30,6'668.30,0.00,0.00,5'577.70,6'007.20,6'007.20,0.00,0.00,3'514.25,3'784.85,3'784.85,0.00,0.00,3'800.00,4'092.60,4'092.60,0.00,0.00,60'454.10,65'109.00,65'109.00,0.00,0.00,1'978.35,2'130.70,2'130.70,0.00,0.00,2'626.40,2'828.55,2'828.55,0.00,0.00,1'604.85,1'728.40,1'728.40,0.00,0.00,3'886.95,4'186.25,4'186.25,0.00,0.00,5'965.30,6'424.70,6'424.70,0.00,0.00,6'571.05,7'077.05,7'077.05,0.00,0.00,6'011.15,6'474.05,6'474.05,0.00,0.00,8'483.50,9'136.75,9'136.75,0.00,0.00,6'118.65,6'589.70,6'589.70,0.00,0.00,5'127.85,5'522.80,5'522.80,0.00,0.00,3'107.65,3'346.95,3'346.95,0.00,0.00,4'158.45,4'478.65,4'478.65,0.00,0.00,55'640.15,59'924.55,59'924.55,0.00,0.00,3'744.20,4'047.50,4'047.50,0.00,0.00,3'305.95,3'573.70,3'573.70,0.00,0.00,2'798.55,3'025.25,3'025.25,0.00,0.00,3'503.30,3'787.10,3'787.10,0.00,0.00,5'869.55,6'344.95,6'344.95,0.00,0.00,5'298.60,5'727.80,5'727.80,0.00,0.00,6'102.80,6'597.10,6'597.10,0.00,0.00,7'848.20,8'483.95,8'483.95,0.00,0.00,5'455.70,5'897.65,5'897.65,0.00,0.00,3'986.30,4'309.20,4'309.20,0.00,0.00,3'754.05,4'058.10,4'058.10,0.00,0.00,4'134.80,4'469.75,4'469.75,0.00,0.00,55'802.00,60'322.05,60'322.05,0.00,0.00,2'089.60,2'258.85,2'258.85,0.00,0.00,3'748.45,4'052.15,4'052.15,0.00,0.00,2'043.75,2'209.40,2'209.40,0.00,0.00,4'953.80,5'355.05,5'355.05,0.00,0.00,5'911.35,6'390.20,6'390.20,0.00,0.00,7'131.65,7'709.35,7'709.35,0.00,0.00,6'851.15,7'406.15,7'406.15,0.00,0.00,6'987.25,7'553.15,7'553.15,0.00,0.00,6'653.65,7'192.70,7'192.70,0.00,0.00,4'874.45,5'269.35,5'269.35,0.00,0.00,4'777.50,5'164.45,5'164.45,0.00,0.00,4'898.45,5'295.30,5'295.30,0.00,0.00,60'921.05,65'856.10,65'856.10,0.00,0.00,1'510.40,1'632.75,1'632.75,0.00,0.00,234'327.70,252'844.45,252'844.45,0.00,0.00
CHEZ PAUL,Chez Paul Sàrl,6789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.60,949.85,949.85,0.00,0.00,1'365.25,1'475.85,1'475.85,0.00,0.00,1'858.15,2'008.45,2'008.45,0.00,0.00,1'926.70,2'082.65,2'082.65,0.00,0.00,2'430.85,2'627.70,2'627.70,0.00,0.00,2'133.35,2'306.10,2'306.10,0.00,0.00,1'627.00,1'758.80,1'758.80,0.00,0.00,1'412.05,1'526.45,1'526.45,0.00,0.00,1'499.20,1'620.40,1'620.40,0.00,0.00,988.65,1'068.55,1'068.55,0.00,0.00,16'119.80,17'424.80,17'424.80,0.00,0.00,528.45,571.25,571.25,0.00,0.00,1'238.25,1'338.50,1'338.50,0.00,0.00,1'467.05,1'585.70,1'585.70,0.00,0.00,3'303.85,3'571.35,3'571.35,0.00,0.00,1'792.60,1'937.65,1'937.65,0.00,0.00,1'914.35,2'069.35,2'069.35,0.00,0.00,2'198.05,2'376.15,2'376.15,0.00,0.00,1'486.50,1'606.80,1'606.80,0.00,0.00,1'649.45,1'783.15,1'783.15,0.00,0.00,1'437.85,1'554.15,1'554.15,0.00,0.00,1'515.00,1'637.45,1'637.45,0.00,0.00,1'365.25,1'475.75,1'475.75,0.00,0.00,19'896.65,21'507.25,21'507.25,0.00,0.00,554.75,599.65,599.65,0.00,0.00,36'571.20,39'531.70,39'531.70,0.00,0.00
CHEZMADAME,PINTE-RESTAURANT,6785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.65,713.05,713.05,0.00,0.00,485.15,524.45,524.45,0.00,0.00,575.95,622.65,622.65,0.00,0.00,271.45,293.50,293.50,0.00,0.00,302.30,326.85,326.85,0.00,0.00,220.90,238.80,238.80,0.00,0.00,430.20,465.10,465.10,0.00,0.00,798.85,863.55,863.55,0.00,0.00,574.25,620.65,620.65,0.00,0.00,399.10,431.45,431.45,0.00,0.00,4'717.80,5'100.05,5'100.05,0.00,0.00,384.25,415.40,415.40,0.00,0.00,337.10,364.40,364.40,0.00,0.00,230.05,248.75,248.75,0.00,0.00,230.10,248.75,248.75,0.00,0.00,345.25,373.25,373.25,0.00,0.00,148.20,160.25,160.25,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'674.95,1'810.80,1'810.80,0.00,0.00,,,,,,6'392.75,6'910.85,6'910.85,0.00,0.00
COINDUBAR,Ferrière Sàrl,6781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.00,361.90,361.90,0.00,0.00,747.60,805.20,805.20,0.00,0.00,1'083.60,1'167.10,1'167.10,0.00,0.00,655.80,708.95,708.95,0.00,0.00,822.60,889.25,889.25,0.00,0.00,609.60,659.00,659.00,0.00,0.00,762.00,823.70,823.70,0.00,0.00,636.00,687.55,687.55,0.00,0.00,483.00,522.15,522.15,0.00,0.00,262.80,284.10,284.10,0.00,0.00,,,,,,661.20,714.80,714.80,0.00,0.00,1'006.20,1'087.70,1'087.70,0.00,0.00,798.00,862.70,862.70,0.00,0.00,1'728.35,1'868.40,1'868.40,0.00,0.00,8'425.55,9'108.30,9'108.30,0.00,0.00,1'431.30,1'547.25,1'547.25,0.00,0.00,1'545.20,1'670.55,1'670.55,0.00,0.00,1'854.10,2'004.30,2'004.30,0.00,0.00,1'413.20,1'527.65,1'527.65,0.00,0.00,1'554.80,1'680.75,1'680.75,0.00,0.00,1'182.95,1'278.75,1'278.75,0.00,0.00,569.85,616.05,616.05,0.00,0.00,906.80,980.25,980.25,0.00,0.00,1'869.10,2'020.50,2'020.50,0.00,0.00,1'617.50,1'748.45,1'748.45,0.00,0.00,1'597.95,1'727.50,1'727.50,0.00,0.00,1'829.00,1'977.20,1'977.20,0.00,0.00,17'371.75,18'779.20,18'779.20,0.00,0.00,1'270.90,1'373.85,1'373.85,0.00,0.00,28'151.80,30'428.45,30'428.45,0.00,0.00
COLBRETAYE,Cookees SA,6712,358.75,386.35,386.35,0.00,0.00,246.00,264.95,264.95,0.00,0.00,276.40,297.70,297.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.00,184.20,184.20,0.00,0.00,146.00,157.25,157.25,0.00,0.00,1'198.15,1'290.45,1'290.45,0.00,0.00,324.50,349.50,349.50,0.00,0.00,360.20,387.95,387.95,0.00,0.00,205.05,220.85,220.85,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.80,203.35,203.35,0.00,0.00,214.90,231.45,231.45,0.00,0.00,1'293.45,1'393.10,1'393.10,0.00,0.00,320.15,346.10,346.10,0.00,0.00,349.45,377.80,377.80,0.00,0.00,309.15,334.15,334.15,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.50,223.25,223.25,0.00,0.00,163.55,176.80,176.80,0.00,0.00,1'348.80,1'458.10,1'458.10,0.00,0.00,321.90,348.05,348.05,0.00,0.00,261.00,282.20,282.20,0.00,0.00,185.05,200.10,200.10,0.00,0.00,132.25,143.00,143.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.20,973.35,973.35,0.00,0.00,,,,,,4'740.60,5'115.00,5'115.00,0.00,0.00
COLLOMBEY,Mc Donald's Restaurant,211,3'413.85,3'676.70,3'676.70,0.00,0.00,2'506.75,2'699.80,2'699.80,0.00,0.00,3'989.35,4'296.60,4'296.60,0.00,0.00,3'451.75,3'717.55,3'717.55,0.00,0.00,3'893.40,4'193.25,4'193.25,0.00,0.00,3'071.50,3'308.05,3'308.05,0.00,0.00,3'514.80,3'785.50,3'785.50,0.00,0.00,4'395.00,4'733.40,4'733.40,0.00,0.00,3'023.70,3'256.55,3'256.55,0.00,0.00,3'351.35,3'609.35,3'609.35,0.00,0.00,4'200.20,4'523.60,4'523.60,0.00,0.00,3'314.70,3'569.95,3'569.95,0.00,0.00,42'126.35,45'370.30,45'370.30,0.00,0.00,3'911.50,4'212.65,4'212.65,0.00,0.00,4'118.70,4'435.85,4'435.85,0.00,0.00,4'506.70,4'853.70,4'853.70,0.00,0.00,3'680.10,3'963.45,3'963.45,0.00,0.00,5'485.15,5'907.50,5'907.50,0.00,0.00,3'999.40,4'307.35,4'307.35,0.00,0.00,3'872.50,4'170.70,4'170.70,0.00,0.00,4'687.35,5'048.35,5'048.35,0.00,0.00,3'837.95,4'133.45,4'133.45,0.00,0.00,3'691.35,3'975.50,3'975.50,0.00,0.00,4'509.15,4'856.35,4'856.35,0.00,0.00,3'319.55,3'575.15,3'575.15,0.00,0.00,49'619.40,53'440.00,53'440.00,0.00,0.00,4'086.55,4'417.50,4'417.50,0.00,0.00,3'188.55,3'446.80,3'446.80,0.00,0.00,3'237.80,3'500.05,3'500.05,0.00,0.00,4'118.65,4'452.25,4'452.25,0.00,0.00,3'211.00,3'471.05,3'471.05,0.00,0.00,2'983.45,3'225.05,3'225.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20'826.00,22'512.70,22'512.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112'571.75,121'323.00,121'323.00,0.00,0.00
CONCIAIRGE,La Conciairgerie Sàrl,6729,293.00,315.50,315.50,0.00,0.00,,,,,,,,,,,312.00,336.00,336.00,0.00,0.00,527.00,567.50,567.50,0.00,0.00,352.00,379.00,379.00,0.00,0.00,742.00,799.05,799.05,0.00,0.00,595.00,640.75,640.75,0.00,0.00,312.00,336.00,336.00,0.00,0.00,332.00,357.50,357.50,0.00,0.00,293.00,315.50,315.50,0.00,0.00,264.00,284.25,284.25,0.00,0.00,4'022.00,4'331.05,4'331.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,596.00,641.75,641.75,0.00,0.00,215.00,231.50,231.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,1'301.00,1'400.75,1'400.75,0.00,0.00,2'112.00,2'274.00,2'274.00,0.00,0.00,117.00,126.45,126.45,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.00,126.45,126.45,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.20,244.50,244.50,0.00,0.00,6'477.20,6'976.00,6'976.00,0.00,0.00
CONTINENTA,Hôtel continental,394,5'470.15,5'891.35,5'891.35,0.00,0.00,6'760.55,7'281.10,7'281.10,0.00,0.00,9'631.45,10'373.15,10'373.15,0.00,0.00,9'924.55,10'688.70,10'688.70,0.00,0.00,15'875.20,17'097.50,17'097.50,0.00,0.00,18'500.95,19'925.55,19'925.55,0.00,0.00,14'291.80,15'392.30,15'392.30,0.00,0.00,11'977.00,12'899.20,12'899.20,0.00,0.00,15'690.40,16'898.55,16'898.55,0.00,0.00,13'689.10,14'743.10,14'743.10,0.00,0.00,15'025.90,16'182.90,16'182.90,0.00,0.00,11'837.95,12'749.50,12'749.50,0.00,0.00,148'675.00,160'122.90,160'122.90,0.00,0.00,9'257.45,9'970.25,9'970.25,0.00,0.00,10'508.15,11'317.30,11'317.30,0.00,0.00,13'736.90,14'794.70,14'794.70,0.00,0.00,13'571.90,14'616.95,14'616.95,0.00,0.00,21'893.55,23'579.40,23'579.40,0.00,0.00,22'570.50,24'308.45,24'308.45,0.00,0.00,24'537.00,26'426.40,26'426.40,0.00,0.00,21'974.05,23'666.05,23'666.05,0.00,0.00,19'213.30,20'692.70,20'692.70,0.00,0.00,20'624.90,22'213.05,22'213.05,0.00,0.00,19'644.90,21'157.60,21'157.60,0.00,0.00,16'655.90,17'938.35,17'938.35,0.00,0.00,214'188.50,230'681.20,230'681.20,0.00,0.00,13'394.05,14'479.00,14'479.00,0.00,0.00,12'520.20,13'534.40,13'534.40,0.00,0.00,15'587.60,16'850.15,16'850.15,0.00,0.00,17'390.35,18'798.90,18'798.90,0.00,0.00,18'979.60,20'517.00,20'517.00,0.00,0.00,19'657.40,21'249.65,21'249.65,0.00,0.00,22'766.00,24'610.20,24'610.20,0.00,0.00,15'524.90,16'782.50,16'782.50,0.00,0.00,22'779.10,24'624.15,24'624.15,0.00,0.00,21'647.45,23'400.95,23'400.95,0.00,0.00,15'384.35,16'630.40,16'630.40,0.00,0.00,16'975.00,18'350.00,18'350.00,0.00,0.00,212'606.00,229'827.30,229'827.30,0.00,0.00,10'792.85,11'667.10,11'667.10,0.00,0.00,13'339.45,14'419.90,14'419.90,0.00,0.00,13'777.05,14'892.80,14'892.80,0.00,0.00,18'987.60,20'525.60,20'525.60,0.00,0.00,20'333.55,21'980.55,21'980.55,0.00,0.00,21'767.00,23'530.20,23'530.20,0.00,0.00,23'084.25,24'954.05,24'954.05,0.00,0.00,19'180.40,20'734.05,20'734.05,0.00,0.00,21'239.60,22'959.95,22'959.95,0.00,0.00,18'535.15,20'036.45,20'036.45,0.00,0.00,19'330.70,20'896.50,20'896.50,0.00,0.00,19'912.25,21'525.15,21'525.15,0.00,0.00,220'279.85,238'122.30,238'122.30,0.00,0.00,9'371.90,10'131.05,10'131.05,0.00,0.00,805'121.25,868'884.75,868'884.75,0.00,0.00
COURONNE,IBEX La Couronne SA,175,1'918.75,2'066.50,2'066.50,0.00,0.00,1'644.85,1'771.50,1'771.50,0.00,0.00,2'742.30,2'953.45,2'953.45,0.00,0.00,4'146.50,4'465.85,4'465.85,0.00,0.00,5'077.90,5'469.00,5'469.00,0.00,0.00,6'489.10,6'988.70,6'988.70,0.00,0.00,5'165.35,5'563.15,5'563.15,0.00,0.00,5'664.75,6'101.00,6'101.00,0.00,0.00,6'392.65,6'884.80,6'884.80,0.00,0.00,5'030.40,5'417.75,5'417.75,0.00,0.00,4'959.75,5'341.70,5'341.70,0.00,0.00,3'921.35,4'223.30,4'223.30,0.00,0.00,53'153.65,57'246.70,57'246.70,0.00,0.00,3'434.70,3'699.20,3'699.20,0.00,0.00,4'141.45,4'460.35,4'460.35,0.00,0.00,2'686.25,2'893.10,2'893.10,0.00,0.00,4'069.95,4'383.35,4'383.35,0.00,0.00,5'032.15,5'419.60,5'419.60,0.00,0.00,5'884.65,6'337.75,6'337.75,0.00,0.00,5'898.95,6'353.10,6'353.10,0.00,0.00,5'487.30,5'909.90,5'909.90,0.00,0.00,5'064.00,5'453.95,5'453.95,0.00,0.00,5'612.50,6'044.70,6'044.70,0.00,0.00,3'660.85,3'942.80,3'942.80,0.00,0.00,3'002.75,3'234.00,3'234.00,0.00,0.00,53'975.50,58'131.80,58'131.80,0.00,0.00,1'678.15,1'814.10,1'814.10,0.00,0.00,4'610.00,4'983.50,4'983.50,0.00,0.00,3'273.30,3'538.50,3'538.50,0.00,0.00,5'252.80,5'678.40,5'678.40,0.00,0.00,5'338.20,5'770.65,5'770.65,0.00,0.00,5'487.35,5'931.80,5'931.80,0.00,0.00,5'174.60,5'593.75,5'593.75,0.00,0.00,4'761.90,5'147.60,5'147.60,0.00,0.00,6'350.95,6'865.40,6'865.40,0.00,0.00,4'743.15,5'127.40,5'127.40,0.00,0.00,3'616.85,3'909.90,3'909.90,0.00,0.00,3'402.70,3'678.30,3'678.30,0.00,0.00,53'689.95,58'039.30,58'039.30,0.00,0.00,2'624.70,2'837.40,2'837.40,0.00,0.00,2'982.75,3'224.40,3'224.40,0.00,0.00,3'797.55,4'105.25,4'105.25,0.00,0.00,4'802.10,5'191.15,5'191.15,0.00,0.00,10'866.90,11'747.00,11'747.00,0.00,0.00,5'863.35,6'338.35,6'338.35,0.00,0.00,5'525.30,5'972.85,5'972.85,0.00,0.00,4'424.40,4'782.75,4'782.75,0.00,0.00,5'992.10,6'477.45,6'477.45,0.00,0.00,4'633.65,5'009.05,5'009.05,0.00,0.00,4'011.60,4'336.50,4'336.50,0.00,0.00,3'891.80,4'207.05,4'207.05,0.00,0.00,59'416.20,64'229.20,64'229.20,0.00,0.00,2'801.45,3'028.40,3'028.40,0.00,0.00,223'036.75,240'675.40,240'675.40,0.00,0.00
CRET-BERAR,Fondation de Crêt-Bérard,149,,,,,,384.20,413.80,413.80,0.00,0.00,2'022.10,2'177.80,2'177.80,0.00,0.00,1'122.90,1'209.45,1'209.45,0.00,0.00,1'885.40,2'030.65,2'030.65,0.00,0.00,2'629.40,2'831.85,2'831.85,0.00,0.00,6'312.50,6'798.65,6'798.65,0.00,0.00,-747.75,-805.10,-805.10,0.00,0.00,2'105.60,2'267.85,2'267.85,0.00,0.00,1'311.00,1'411.95,1'411.95,0.00,0.00,1'431.80,1'542.10,1'542.10,0.00,0.00,524.55,564.90,564.90,0.00,0.00,18'981.70,20'443.90,20'443.90,0.00,0.00,1'160.95,1'250.20,1'250.20,0.00,0.00,694.70,748.25,748.25,0.00,0.00,1'891.90,2'037.50,2'037.50,0.00,0.00,1'345.55,1'449.20,1'449.20,0.00,0.00,2'009.80,2'164.45,2'164.45,0.00,0.00,3'099.05,3'337.60,3'337.60,0.00,0.00,2'722.90,2'932.65,2'932.65,0.00,0.00,1'614.75,1'739.05,1'739.05,0.00,0.00,2'364.00,2'546.05,2'546.05,0.00,0.00,1'952.00,2'102.30,2'102.30,0.00,0.00,1'142.85,1'230.85,1'230.85,0.00,0.00,615.10,662.45,662.45,0.00,0.00,20'613.55,22'200.55,22'200.55,0.00,0.00,1'323.85,1'431.15,1'431.15,0.00,0.00,1'296.60,1'401.50,1'401.50,0.00,0.00,1'107.85,1'197.65,1'197.65,0.00,0.00,1'635.35,1'767.75,1'767.75,0.00,0.00,2'380.65,2'573.40,2'573.40,0.00,0.00,2'593.25,2'803.30,2'803.30,0.00,0.00,3'586.10,3'876.55,3'876.55,0.00,0.00,3'161.65,3'417.65,3'417.65,0.00,0.00,2'550.15,2'756.65,2'756.65,0.00,0.00,2'133.85,2'306.75,2'306.75,0.00,0.00,500.00,540.55,540.55,0.00,0.00,1'260.05,1'362.20,1'362.20,0.00,0.00,23'529.35,25'435.10,25'435.10,0.00,0.00,984.30,1'064.05,1'064.05,0.00,0.00,1'215.20,1'313.60,1'313.60,0.00,0.00,1'340.25,1'448.80,1'448.80,0.00,0.00,2'068.65,2'236.20,2'236.20,0.00,0.00,2'465.70,2'665.40,2'665.40,0.00,0.00,3'417.05,3'693.80,3'693.80,0.00,0.00,3'866.45,4'179.55,4'179.55,0.00,0.00,2'984.25,3'226.00,3'226.00,0.00,0.00,2'180.60,2'357.25,2'357.25,0.00,0.00,2'283.95,2'468.85,2'468.85,0.00,0.00,1'589.90,1'718.70,1'718.70,0.00,0.00,713.75,771.55,771.55,0.00,0.00,25'110.05,27'143.75,27'143.75,0.00,0.00,1'111.25,1'201.25,1'201.25,0.00,0.00,89'345.90,96'424.55,96'424.55,0.00,0.00
CROISEE,BOLLE SA,6821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'699.00,1'836.65,1'836.65,0.00,0.00,271.10,293.00,293.00,0.00,0.00,700.90,757.50,757.50,0.00,0.00,2'671.00,2'887.15,2'887.15,0.00,0.00,426.25,460.75,460.75,0.00,0.00,3'097.25,3'347.90,3'347.90,0.00,0.00
