,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Total,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Total,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 Total,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Total,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Total,,,,,Grand Total,,,,
CONTINENTA,Hôtel continental,394,10'007.70,10'808.40,10'808.40,0.00,0.00,10'353.55,11'181.85,11'181.85,0.00,0.00,11'329.10,12'235.45,12'235.45,0.00,0.00,11'849.00,12'796.90,12'796.90,0.00,0.00,10'985.85,11'864.70,11'864.70,0.00,0.00,13'495.20,14'574.80,14'574.80,0.00,0.00,13'166.15,14'219.35,14'219.35,0.00,0.00,9'560.50,10'325.30,10'325.30,0.00,0.00,13'036.20,14'079.15,14'079.15,0.00,0.00,12'972.45,14'010.35,14'010.35,0.00,0.00,11'712.15,12'649.05,12'649.05,0.00,0.00,10'674.75,11'528.75,11'528.75,0.00,0.00,139'142.60,150'274.05,150'274.05,0.00,0.00,9'593.85,10'361.35,10'361.35,0.00,0.00,10'845.30,11'712.95,11'712.95,0.00,0.00,11'714.90,12'652.10,12'652.10,0.00,0.00,9'880.30,10'670.70,10'670.70,0.00,0.00,11'193.05,12'088.50,12'088.50,0.00,0.00,14'316.15,15'461.45,15'461.45,0.00,0.00,15'260.50,16'481.25,16'481.25,0.00,0.00,12'554.45,13'558.80,13'558.80,0.00,0.00,13'730.20,14'828.70,14'828.70,0.00,0.00,14'394.95,15'546.55,15'546.55,0.00,0.00,13'080.45,14'126.90,14'126.90,0.00,0.00,9'543.30,10'306.85,10'306.85,0.00,0.00,146'107.40,157'796.10,157'796.10,0.00,0.00,9'619.15,10'359.90,10'359.90,0.00,0.00,10'373.60,11'172.20,11'172.20,0.00,0.00,10'599.45,11'415.45,11'415.45,0.00,0.00,9'524.40,10'257.60,10'257.60,0.00,0.00,11'199.65,12'061.95,12'061.95,0.00,0.00,,,,,,27'069.40,29'153.70,29'153.70,0.00,0.00,13'179.55,14'194.25,14'194.25,0.00,0.00,9'463.60,10'192.35,10'192.35,0.00,0.00,14'976.10,16'129.15,16'129.15,0.00,0.00,11'821.90,12'732.15,12'732.15,0.00,0.00,11'330.90,12'203.40,12'203.40,0.00,0.00,139'157.70,149'872.10,149'872.10,0.00,0.00,10'838.45,11'673.00,11'673.00,0.00,0.00,10'851.30,11'686.90,11'686.90,0.00,0.00,12'139.55,13'074.15,13'074.15,0.00,0.00,12'911.10,13'905.20,13'905.20,0.00,0.00,13'146.45,14'158.65,14'158.65,0.00,0.00,13'558.10,14'602.05,14'602.05,0.00,0.00,16'746.40,18'035.85,18'035.85,0.00,0.00,14'621.55,15'747.30,15'747.30,0.00,0.00,15'326.80,16'506.90,16'506.90,0.00,0.00,17'391.40,18'730.50,18'730.50,0.00,0.00,13'066.20,14'072.30,14'072.30,0.00,0.00,13'280.80,14'303.45,14'303.45,0.00,0.00,163'878.10,176'496.25,176'496.25,0.00,0.00,10'381.25,11'180.70,11'180.70,0.00,0.00,10'808.75,11'641.00,11'641.00,0.00,0.00,5'490.95,5'913.80,5'913.80,0.00,0.00,,,,,,,,,,,3'037.55,3'271.45,3'271.45,0.00,0.00,5'028.60,5'415.75,5'415.75,0.00,0.00,6'561.80,7'067.00,7'067.00,0.00,0.00,5'551.00,5'978.35,5'978.35,0.00,0.00,4'902.95,5'280.40,5'280.40,0.00,0.00,941.70,1'014.20,1'014.20,0.00,0.00,398.70,429.40,429.40,0.00,0.00,53'103.25,57'192.05,57'192.05,0.00,0.00,641'389.05,691'630.55,691'630.55,0.00,0.00
CORNAVIN,Cornavin Crige sa,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.90,200.75,200.75,0.00,0.00,185.90,200.75,200.75,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.90,200.75,200.75,0.00,0.00
COURONNE,IBEX La Couronne SA,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.65,774.00,774.00,0.00,0.00,716.65,774.00,774.00,0.00,0.00,3'509.05,3'779.30,3'779.30,0.00,0.00,3'067.75,3'303.95,3'303.95,0.00,0.00,4'158.45,4'478.65,4'478.65,0.00,0.00,4'002.80,4'311.05,4'311.05,0.00,0.00,5'553.05,5'980.75,5'980.75,0.00,0.00,,,,,,12'101.10,13'032.90,13'032.90,0.00,0.00,8'303.15,8'942.35,8'942.35,0.00,0.00,4'997.20,5'381.90,5'381.90,0.00,0.00,5'980.55,6'441.15,6'441.15,0.00,0.00,5'467.85,5'888.90,5'888.90,0.00,0.00,1'788.75,1'926.50,1'926.50,0.00,0.00,58'929.70,63'467.40,63'467.40,0.00,0.00,4'641.10,4'998.50,4'998.50,0.00,0.00,2'704.50,2'912.85,2'912.85,0.00,0.00,5'979.75,6'440.15,6'440.15,0.00,0.00,6'855.50,7'383.30,7'383.30,0.00,0.00,7'065.50,7'609.45,7'609.45,0.00,0.00,6'228.10,6'707.60,6'707.60,0.00,0.00,5'659.55,6'095.50,6'095.50,0.00,0.00,4'635.45,4'992.40,4'992.40,0.00,0.00,5'778.60,6'223.55,6'223.55,0.00,0.00,5'556.10,5'983.90,5'983.90,0.00,0.00,5'832.95,6'282.15,6'282.15,0.00,0.00,1'912.95,2'060.20,2'060.20,0.00,0.00,62'850.05,67'689.55,67'689.55,0.00,0.00,4'419.00,4'759.25,4'759.25,0.00,0.00,3'996.65,4'304.45,4'304.45,0.00,0.00,694.65,748.15,748.15,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9'110.30,9'811.85,9'811.85,0.00,0.00,131'606.70,141'742.80,141'742.80,0.00,0.00
CRET-BERAR,Fondation de Crêt-Bérard,149,,,,,,,,,,,,,,,,,,,,,,,,,,756.40,816.90,816.90,0.00,0.00,500.00,540.00,540.00,0.00,0.00,819.65,885.25,885.25,0.00,0.00,1'357.80,1'466.35,1'466.35,0.00,0.00,882.70,953.30,953.30,0.00,0.00,1'141.30,1'232.55,1'232.55,0.00,0.00,720.70,778.35,778.35,0.00,0.00,6'178.55,6'672.70,6'672.70,0.00,0.00,1'285.40,1'388.20,1'388.20,0.00,0.00,838.35,905.50,905.50,0.00,0.00,975.75,1'053.90,1'053.90,0.00,0.00,586.20,633.05,633.05,0.00,0.00,1'373.00,1'482.85,1'482.85,0.00,0.00,1'239.90,1'339.15,1'339.15,0.00,0.00,1'372.70,1'482.40,1'482.40,0.00,0.00,1'183.10,1'277.80,1'277.80,0.00,0.00,1'098.40,1'186.30,1'186.30,0.00,0.00,958.20,1'034.90,1'034.90,0.00,0.00,1'169.80,1'263.40,1'263.40,0.00,0.00,371.00,400.70,400.70,0.00,0.00,12'451.80,13'448.15,13'448.15,0.00,0.00,1'159.40,1'248.45,1'248.45,0.00,0.00,1'080.50,1'163.60,1'163.60,0.00,0.00,1'159.10,1'248.35,1'248.35,0.00,0.00,1'335.20,1'438.05,1'438.05,0.00,0.00,1'997.40,2'151.10,2'151.10,0.00,0.00,,,,,,3'444.50,3'709.60,3'709.60,0.00,0.00,2'157.90,2'324.25,2'324.25,0.00,0.00,1'366.00,1'471.20,1'471.20,0.00,0.00,1'932.60,2'081.35,2'081.35,0.00,0.00,1'134.10,1'221.25,1'221.25,0.00,0.00,543.50,585.35,585.35,0.00,0.00,17'310.20,18'642.55,18'642.55,0.00,0.00,1'555.55,1'675.30,1'675.30,0.00,0.00,1'249.25,1'345.35,1'345.35,0.00,0.00,1'523.30,1'640.40,1'640.40,0.00,0.00,2'075.35,2'235.15,2'235.15,0.00,0.00,1'678.50,1'807.50,1'807.50,0.00,0.00,1'930.50,2'079.05,2'079.05,0.00,0.00,2'384.90,2'568.60,2'568.60,0.00,0.00,1'795.90,1'934.20,1'934.20,0.00,0.00,1'502.50,1'618.10,1'618.10,0.00,0.00,2'347.95,2'528.60,2'528.60,0.00,0.00,1'049.90,1'130.65,1'130.65,0.00,0.00,1'081.70,1'164.95,1'164.95,0.00,0.00,20'175.30,21'727.85,21'727.85,0.00,0.00,1'102.20,1'187.05,1'187.05,0.00,0.00,1'067.20,1'149.35,1'149.35,0.00,0.00,699.25,753.05,753.05,0.00,0.00,,,,,,,,,,,208.40,224.45,224.45,0.00,0.00,889.50,957.90,957.90,0.00,0.00,2'140.55,2'305.30,2'305.30,0.00,0.00,1'312.10,1'412.95,1'412.95,0.00,0.00,893.75,962.50,962.50,0.00,0.00,,,,,,,,,,,8'312.95,8'952.55,8'952.55,0.00,0.00,64'428.80,69'443.80,69'443.80,0.00,0.00
CRISS.DRIV,McDonald's Suisse Restaurants,201,1'243.85,1'343.40,1'343.40,0.00,0.00,1'352.60,1'460.85,1'460.85,0.00,0.00,1'683.05,1'817.70,1'817.70,0.00,0.00,1'279.95,1'382.35,1'382.35,0.00,0.00,1'482.95,1'601.55,1'601.55,0.00,0.00,1'482.20,1'600.70,1'600.70,0.00,0.00,1'376.65,1'486.90,1'486.90,0.00,0.00,1'722.40,1'860.20,1'860.20,0.00,0.00,1'548.50,1'672.50,1'672.50,0.00,0.00,1'778.95,1'921.25,1'921.25,0.00,0.00,1'841.30,1'988.70,1'988.70,0.00,0.00,1'363.05,1'472.05,1'472.05,0.00,0.00,18'155.45,19'608.15,19'608.15,0.00,0.00,1'683.30,1'817.95,1'817.95,0.00,0.00,1'164.00,1'257.05,1'257.05,0.00,0.00,1'434.05,1'548.70,1'548.70,0.00,0.00,1'290.85,1'394.10,1'394.10,0.00,0.00,1'781.20,1'923.75,1'923.75,0.00,0.00,1'550.70,1'674.75,1'674.75,0.00,0.00,2'111.30,2'280.35,2'280.35,0.00,0.00,1'821.05,1'966.75,1'966.75,0.00,0.00,1'533.85,1'656.55,1'656.55,0.00,0.00,1'628.60,1'758.95,1'758.95,0.00,0.00,1'791.50,1'934.80,1'934.80,0.00,0.00,2'739.90,2'959.05,2'959.05,0.00,0.00,20'530.30,22'172.75,22'172.75,0.00,0.00,3'219.65,3'467.60,3'467.60,0.00,0.00,2'090.00,2'250.85,2'250.85,0.00,0.00,1'935.00,2'083.95,2'083.95,0.00,0.00,2'498.60,2'691.00,2'691.00,0.00,0.00,2'495.15,2'687.25,2'687.25,0.00,0.00,,,,,,6'338.40,6'826.55,6'826.55,0.00,0.00,2'165.00,2'331.70,2'331.70,0.00,0.00,2'174.25,2'341.60,2'341.60,0.00,0.00,3'241.55,3'491.10,3'491.10,0.00,0.00,2'115.45,2'278.35,2'278.35,0.00,0.00,2'478.75,2'669.60,2'669.60,0.00,0.00,30'751.80,33'119.55,33'119.55,0.00,0.00,1'783.55,1'920.75,1'920.75,0.00,0.00,1'515.30,1'631.90,1'631.90,0.00,0.00,,,,,,182.10,196.10,196.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'480.95,3'748.75,3'748.75,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72'918.50,78'649.20,78'649.20,0.00,0.00
CROWNE PL,Crowne Plaza Geneva,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.80,40.80,40.80,0.00,0.00,37.80,40.80,40.80,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.80,40.80,40.80,0.00,0.00
CROWNE PLA,Crowne Plaza Genève,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'197.90,4'533.70,4'533.70,0.00,0.00,4'197.90,4'533.70,4'533.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'197.90,4'533.70,4'533.70,0.00,0.00
DE COUR,Café - Restaurant de Cour,6150,1'029.00,1'111.35,1'111.35,0.00,0.00,1'222.35,1'320.15,1'320.15,0.00,0.00,1'184.00,1'278.80,1'278.80,0.00,0.00,851.45,919.65,919.65,0.00,0.00,1'367.60,1'477.15,1'477.15,0.00,0.00,802.40,866.55,866.55,0.00,0.00,656.50,709.10,709.10,0.00,0.00,688.85,744.00,744.00,0.00,0.00,763.90,825.10,825.10,0.00,0.00,808.70,873.55,873.55,0.00,0.00,1'035.95,1'118.90,1'118.90,0.00,0.00,798.30,862.35,862.35,0.00,0.00,11'209.00,12'106.65,12'106.65,0.00,0.00,986.75,1'065.75,1'065.75,0.00,0.00,767.30,828.85,828.85,0.00,0.00,950.80,1'027.00,1'027.00,0.00,0.00,672.80,726.75,726.75,0.00,0.00,889.15,960.30,960.30,0.00,0.00,483.30,521.95,521.95,0.00,0.00,348.00,375.90,375.90,0.00,0.00,755.00,815.40,815.40,0.00,0.00,677.20,731.40,731.40,0.00,0.00,860.15,929.05,929.05,0.00,0.00,705.00,761.45,761.45,0.00,0.00,741.80,801.20,801.20,0.00,0.00,8'837.25,9'545.00,9'545.00,0.00,0.00,1'023.90,1'102.85,1'102.85,0.00,0.00,834.95,899.35,899.35,0.00,0.00,790.70,851.70,851.70,0.00,0.00,729.45,785.65,785.65,0.00,0.00,954.55,1'028.00,1'028.00,0.00,0.00,,,,,,1'070.40,1'152.85,1'152.85,0.00,0.00,658.15,708.95,708.95,0.00,0.00,343.20,369.60,369.60,0.00,0.00,602.00,648.45,648.45,0.00,0.00,708.15,762.75,762.75,0.00,0.00,710.80,765.55,765.55,0.00,0.00,8'426.25,9'075.70,9'075.70,0.00,0.00,783.45,843.80,843.80,0.00,0.00,299.50,322.60,322.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'082.95,1'166.40,1'166.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29'555.45,31'893.75,31'893.75,0.00,0.00
DE RIVAZ,Hôtel Mont Lac,145,,,,,,,,,,,226.25,244.35,244.35,0.00,0.00,,,,,,,,,,,954.65,1'031.00,1'031.00,0.00,0.00,861.15,930.05,930.05,0.00,0.00,1'371.20,1'480.90,1'480.90,0.00,0.00,843.00,910.45,910.45,0.00,0.00,237.75,256.75,256.75,0.00,0.00,295.00,318.60,318.60,0.00,0.00,437.00,471.95,471.95,0.00,0.00,5'226.00,5'644.05,5'644.05,0.00,0.00,343.75,371.25,371.25,0.00,0.00,517.50,558.90,558.90,0.00,0.00,579.25,625.60,625.60,0.00,0.00,280.00,302.40,302.40,0.00,0.00,225.75,243.80,243.80,0.00,0.00,1'382.50,1'493.10,1'493.10,0.00,0.00,1'359.00,1'467.70,1'467.70,0.00,0.00,1'967.70,2'125.10,2'125.10,0.00,0.00,978.50,1'056.80,1'056.80,0.00,0.00,583.55,630.20,630.20,0.00,0.00,227.75,245.95,245.95,0.00,0.00,228.00,246.25,246.25,0.00,0.00,8'673.25,9'367.05,9'367.05,0.00,0.00,1'086.15,1'169.75,1'169.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,586.40,631.55,631.55,0.00,0.00,337.25,363.20,363.20,0.00,0.00,34.15,36.75,36.75,0.00,0.00,,,,,,3'254.35,3'504.90,3'504.90,0.00,0.00,1'851.95,1'994.60,1'994.60,0.00,0.00,991.00,1'067.35,1'067.35,0.00,0.00,248.50,267.65,267.65,0.00,0.00,,,,,,162.25,174.75,174.75,0.00,0.00,8'552.00,9'210.50,9'210.50,0.00,0.00,498.90,537.30,537.30,0.00,0.00,695.50,749.05,749.05,0.00,0.00,186.40,200.75,200.75,0.00,0.00,,,,,,409.55,441.10,441.10,0.00,0.00,716.90,772.10,772.10,0.00,0.00,2'425.95,2'612.75,2'612.75,0.00,0.00,2'337.90,2'517.90,2'517.90,0.00,0.00,1'375.20,1'481.10,1'481.10,0.00,0.00,,,,,,,,,,,142.75,153.75,153.75,0.00,0.00,8'789.05,9'465.80,9'465.80,0.00,0.00,240.00,258.50,258.50,0.00,0.00,426.65,459.50,459.50,0.00,0.00,187.15,201.55,201.55,0.00,0.00,,,,,,615.50,662.90,662.90,0.00,0.00,246.25,265.20,265.20,0.00,0.00,2'005.45,2'159.85,2'159.85,0.00,0.00,817.80,880.80,880.80,0.00,0.00,779.65,839.70,839.70,0.00,0.00,381.00,410.35,410.35,0.00,0.00,,,,,,504.50,543.35,543.35,0.00,0.00,6'203.95,6'681.70,6'681.70,0.00,0.00,37'444.25,40'369.10,40'369.10,0.00,0.00
DEBARCADER,Hostellerie du Débarcadère,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.60,574.10,574.10,0.00,0.00,531.60,574.10,574.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.60,574.10,574.10,0.00,0.00
DECURTINS,Hostellerie du XVI Siècle,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.80,63.50,63.50,0.00,0.00,58.80,63.50,63.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.80,63.50,63.50,0.00,0.00
DIVERS,Client divers,250,,,,,,799.60,863.55,863.55,0.00,0.00,,,,,,124.20,134.15,134.15,0.00,0.00,268.80,290.30,290.30,0.00,0.00,667.35,720.70,720.70,0.00,0.00,200.90,217.00,217.00,0.00,0.00,135.50,146.35,146.35,0.00,0.00,728.10,786.35,786.35,0.00,0.00,1'312.25,1'417.25,1'417.25,0.00,0.00,730.85,789.30,789.30,0.00,0.00,3'356.00,3'624.50,3'624.50,0.00,0.00,8'323.55,8'989.45,8'989.45,0.00,0.00,203.25,219.50,219.50,0.00,0.00,696.05,751.75,751.75,0.00,0.00,696.45,752.15,752.15,0.00,0.00,1'250.80,1'350.90,1'350.90,0.00,0.00,,,,,,1'571.00,1'696.65,1'696.65,0.00,0.00,812.30,877.30,877.30,0.00,0.00,1'066.50,1'151.85,1'151.85,0.00,0.00,136.70,147.65,147.65,0.00,0.00,839.20,906.35,906.35,0.00,0.00,497.60,537.40,537.40,0.00,0.00,,,,,,7'769.85,8'391.50,8'391.50,0.00,0.00,,,,,,,,,,,631.80,680.45,680.45,0.00,0.00,677.20,729.35,729.35,0.00,0.00,157.20,169.30,169.30,0.00,0.00,,,,,,,,,,,,,,,,2'119.00,2'282.15,2'282.15,0.00,0.00,,,,,,185.70,200.00,200.00,0.00,0.00,416.75,448.80,448.80,0.00,0.00,4'187.65,4'510.05,4'510.05,0.00,0.00,187.00,201.40,201.40,0.00,0.00,210.60,226.80,226.80,0.00,0.00,,,,,,0.00,0.00,0.00,0.00,0.00,540.50,582.15,582.15,0.00,0.00,287.00,309.05,309.05,0.00,0.00,322.90,347.75,347.75,0.00,0.00,3'640.60,3'920.95,3'920.95,0.00,0.00,,,,,,2'705.00,2'913.25,2'913.25,0.00,0.00,553.00,595.60,595.60,0.00,0.00,278.30,299.75,299.75,0.00,0.00,8'724.90,9'396.70,9'396.70,0.00,0.00,591.70,637.30,637.30,0.00,0.00,192.00,206.75,206.75,0.00,0.00,575.50,619.75,619.75,0.00,0.00,,,,,,,,,,,,,,,,-422.20,-454.70,-454.70,0.00,0.00,,,,,,992.50,1'068.90,1'068.90,0.00,0.00,475.00,511.60,511.60,0.00,0.00,427.50,460.40,460.40,0.00,0.00,,,,,,2'832.00,3'050.00,3'050.00,0.00,0.00,31'837.95,34'337.70,34'337.70,0.00,0.00
DRAKE LONG,Hôtel Drake Longchamp,31,7'285.05,7'867.90,7'867.90,0.00,0.00,8'265.30,8'926.65,8'926.65,0.00,0.00,11'774.85,12'716.90,12'716.90,0.00,0.00,9'917.35,10'710.90,10'710.90,0.00,0.00,11'326.45,12'232.35,12'232.35,0.00,0.00,14'207.10,15'343.80,15'343.80,0.00,0.00,11'190.80,12'086.15,12'086.15,0.00,0.00,11'090.30,11'977.45,11'977.45,0.00,0.00,12'421.70,13'415.55,13'415.55,0.00,0.00,12'751.75,13'771.75,13'771.75,0.00,0.00,11'571.30,12'496.80,12'496.80,0.00,0.00,6'026.60,6'508.75,6'508.75,0.00,0.00,127'828.55,138'054.95,138'054.95,0.00,0.00,8'999.95,9'720.05,9'720.05,0.00,0.00,8'103.80,8'752.15,8'752.15,0.00,0.00,14'210.95,15'347.85,15'347.85,0.00,0.00,8'636.50,9'327.50,9'327.50,0.00,0.00,14'479.35,15'637.65,15'637.65,0.00,0.00,14'982.35,16'180.95,16'180.95,0.00,0.00,15'175.15,16'389.05,16'389.05,0.00,0.00,12'575.60,13'581.65,13'581.65,0.00,0.00,12'969.30,14'006.75,14'006.75,0.00,0.00,13'221.00,14'278.75,14'278.75,0.00,0.00,12'174.40,13'148.25,13'148.25,0.00,0.00,7'623.25,8'233.15,8'233.15,0.00,0.00,143'151.60,154'603.75,154'603.75,0.00,0.00,11'195.70,12'057.60,12'057.60,0.00,0.00,10'122.30,10'901.60,10'901.60,0.00,0.00,14'874.30,16'019.45,16'019.45,0.00,0.00,,,,,,25'948.15,27'946.20,27'946.20,0.00,0.00,,,,,,30'696.50,33'060.00,33'060.00,0.00,0.00,14'088.70,15'173.50,15'173.50,0.00,0.00,13'795.55,14'857.60,14'857.60,0.00,0.00,16'010.10,17'242.90,17'242.90,0.00,0.00,11'915.65,12'833.10,12'833.10,0.00,0.00,8'097.65,8'721.05,8'721.05,0.00,0.00,156'744.60,168'813.00,168'813.00,0.00,0.00,10'216.35,11'003.00,11'003.00,0.00,0.00,10'694.25,11'517.75,11'517.75,0.00,0.00,13'684.85,14'738.50,14'738.50,0.00,0.00,12'471.10,13'431.25,13'431.25,0.00,0.00,12'898.50,13'891.75,13'891.75,0.00,0.00,13'530.05,14'571.80,14'571.80,0.00,0.00,15'946.85,17'174.75,17'174.75,0.00,0.00,10'144.70,10'925.90,10'925.90,0.00,0.00,13'604.60,14'652.20,14'652.20,0.00,0.00,10'848.00,11'683.25,11'683.25,0.00,0.00,16'656.65,17'938.95,17'938.95,0.00,0.00,4'379.00,4'716.00,4'716.00,0.00,0.00,145'074.90,156'245.10,156'245.10,0.00,0.00,3'989.25,4'296.45,4'296.45,0.00,0.00,8'904.55,9'590.40,9'590.40,0.00,0.00,2'928.60,3'154.05,3'154.05,0.00,0.00,1'600.80,1'724.10,1'724.10,0.00,0.00,1'146.85,1'235.20,1'235.20,0.00,0.00,1'988.55,2'141.65,2'141.65,0.00,0.00,3'065.85,3'301.95,3'301.95,0.00,0.00,3'627.90,3'907.25,3'907.25,0.00,0.00,2'884.30,3'106.40,3'106.40,0.00,0.00,2'676.25,2'882.35,2'882.35,0.00,0.00,1'968.05,2'119.70,2'119.70,0.00,0.00,2'386.35,2'570.05,2'570.05,0.00,0.00,37'167.30,40'029.55,40'029.55,0.00,0.00,609'966.95,657'746.35,657'746.35,0.00,0.00
ECOLE NOUV,Ecole Nouvelle,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.05,155.55,155.55,0.00,0.00,144.05,155.55,155.55,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.05,155.55,155.55,0.00,0.00
ECU,NR Gehin Sàrl,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00,86.15,86.15,0.00,0.00,,,,,,-80.00,-86.15,-86.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00
